rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
1,Assess and monitor export controls for effectiveness,Center for Security and Emerging Technology,Think Tank,9.45,10.0,9.5,9.5,8.5,"Highly aligned with IAPS priorities on export controls and evidence-based policy. Calls for scenario planning, monitoring, and post-implementation assessment—concrete, actionable, and grounded in real-world constraints. Directly addresses national security and compute governance.",1477
2,Implement AI incident reporting for federal agencies,Center for Security and Emerging Technology,Think Tank,9.325,10.0,9.5,9.0,8.5,"Mandates incident reporting for federal AI, directly advancing IAPS priorities on AI governance, safety, and national security. Specifies agency obligations, timelines, and enforcement. Supported by precedent in cybersecurity and aviation. Politically feasible within federal authority.",3002
3,Strengthen export controls on AI hardware and model weights,Anthropic,Frontier Developer,9.325,10.0,9.5,9.0,8.5,"Directly addresses IAPS's core focus on compute governance and export controls. Concrete, actionable recommendations for strengthening export controls on AI hardware and model weights, with clear evidence of efficacy and real-world precedent. Politically viable within current national security frameworks.",4278
4,Focus OSINT on China's AI ecosystem,Center for Security and Emerging Technology,Think Tank,9.2,10.0,9.0,9.0,8.5,"Highly aligned with IAPS's focus on international AI governance and national security, specifically targeting China's AI ecosystem. Concrete, actionable recommendation for a federal OSINT program with clear implementation path and strong evidence base. Politically viable given bipartisan concern about China.",5071
5,Build federal capacity to test and evaluate AI models for national security,Anthropic,Frontier Developer,9.075,10.0,9.0,8.5,8.5,"Directly addresses IAPS priorities (national security, model evaluation, risk mitigation). Proposes concrete infrastructure for rapid AI model assessment, with clear implementation path and measurable objectives. Evidence-based, anticipates rapid model advances, and is politically viable within existing agency authorities.",2645
6,Establish AI development reporting programs,Center for Security and Emerging Technology,Think Tank,8.975,10.0,9.0,8.5,8.0,"Concrete, actionable reporting regime for AI development, closing information gaps between government and developers. Directly aligns with IAPS focus on compute governance and risk monitoring. Realistic, modeled on existing reporting programs.",2932
7,Support the NIST AI Safety Institute,Federation of American Scientists,Think Tank,8.85,10.0,8.5,8.5,8.0,"Directly supports the NIST AI Safety Institute, a core IAPS policy area. Concrete call for codification and prioritization, with bipartisan support and clear implementation mechanisms. Strong evidence base and high feasibility.",5016
8,Empower U.S. AI Safety Institute for evaluation science,Center for Security and Emerging Technology,Think Tank,8.825,9.5,9.0,8.5,8.0,"Directly advances IAPS focus on AI safety institutes and evaluation science. Proposes specific benchmarks and government-industry collaboration, with clear implementation path and recent precedent.",1669
9,Facilitate cross-government expertise on AI evaluation,Center for Security and Emerging Technology,Think Tank,8.825,9.5,9.0,8.5,8.0,"Facilitates cross-government expertise on AI evaluation, leveraging existing agency strengths (NSA, DOE). Highly actionable, addresses real gaps in AI risk evaluation. Strong IAPS alignment with national security and governance.",3342
10,Early Warning System for AI-Powered Threats,Federation of American Scientists,Think Tank,8.825,9.5,9.0,8.5,8.0,"Establishing an early warning system for dual-use AI threats is highly aligned with IAPS's focus on national security and AI risk governance. Proposal is specific, references policy precedents, and is actionable within existing agency structures.",4006
