batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
1,Identify Critical AI Technologies for Export Control,"Advanced Robotics for Manufacturing
  Institute",Think Tank,8.675,9.5,8.5,8.0,8.5,"Directly advances IAPS priorities on export controls and national security. Proposes concrete identification and regulation of critical AI technologies, with clear agency action and precedent. Highly actionable and politically feasible.",2005
2,Establish Government Authority to Temporarily Suspend Unsafe AI Systems,Wahba Institute for Strategic Competition,Think Tank,8.424999999999999,9.0,8.5,8.0,8.0,"Concrete, actionable mechanism for government intervention in unsafe AI systems, directly aligned with IAPS's focus on AI safety governance. Cites regulatory models (NHTSA recalls), considers real-world constraints.",2219
3,AI Model Integrity Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.075,9.0,8.0,7.5,7.5,"Specific, technical proposal for AI model integrity, including standards, cryptographic verification, and a national registry. Directly advances IAPS's interest in AI assurance and governance frameworks.",2077
4,AI Compute Access Program,Alvarez & Marshall Federal LLC,Industry (Other),7.925,8.5,8.0,7.5,7.5,"Concrete compute governance proposal: AI compute credits, federal resource allocation, procurement reform. Directly addresses IAPS's compute policy focus, with clear implementation path.",2238
5,Establish AI procurement and regulatory guidelines,NSF Center of Excellence,Academia,7.575,8.5,7.5,7.0,7.0,"Proposes actionable procurement/regulatory guidelines, export controls, and international collaboration. Strong alignment with IAPS priorities, though some elements are broad.",2213
6,Influence International AI Standards,Wahba Institute for Strategic Competition,Think Tank,7.575,8.5,7.0,7.5,7.0,"Focuses on US leadership in international AI standards and export controls. Actionable, with clear strategic rationale and evidence of global competition.",2229
7,Establish comprehensive AI regulations and frameworks,"Center for Intelligence, Research, Analysis, and Training (CIRAT)/Mercyhurst University",Academia,7.550000000000001,8.0,7.5,7.5,7.0,"Comprehensive regulatory framework modeled on the EU AI Act, with risk-based classification, compliance, and enforcement. Concrete, though some adaptation for US context needed.",2099
8,Foster dynamic and competitive AI markets,Center for Security and Emerging Technology,Think Tank,7.300000000000001,8.0,7.0,7.0,7.0,"Addresses market concentration and competition, a real gap in US AI policy. Proposes lowering barriers for new entrants, which is actionable and strategically important.",2142
9,Encourage secure deployment of open-source AI over blanket bans,"R Street Institute's Cybersecurity and
  Emerging Threats Team",AI Company,7.425000000000001,8.0,7.5,7.0,7.0,"Concrete, evidence-based recommendations for secure open-source AI deployment, referencing real incidents. Balances innovation and risk, aligned with IAPS's nuanced approach.",2085
10,Delegate sector-specific AI regulation to appropriate federal agencies,Healthcare Trust Institute,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Delegates sector-specific AI regulation to agencies with subject-matter expertise. Practical, implementable, and avoids one-size-fits-all approaches.",2169
11,Pursue Proactive AI Diplomacy,AI Alliance,Industry Association,7.15,7.5,7.0,7.0,7.0,"Proactive AI diplomacy to shape global standards aligns with IAPS's international governance focus. Somewhat broad, but actionable and timely.",2124
12,Establish AI and Robotics Testing Facilities,"Advanced Robotics for Manufacturing
  Institute",Think Tank,7.05,7.5,7.0,7.0,6.5,"Establishes real-world AI/robotics test facilities for safety and collaboration. Concrete, actionable, and supports national competitiveness.",2138
13,Develop Secure AI Models for National Security,HPE,Industry (Other),7.025,7.5,7.0,6.5,7.0,"Developing secure AI models for defense is highly aligned with IAPS's national security focus. Somewhat generic, but actionable and feasible.",2172
14,"Invest in high-risk, high-reward emerging technologies",IEEE,Professional Society,6.875,7.0,7.0,6.5,7.0,"Concrete funding and programmatic recommendations for high-risk AI research, including defense and national security applications. Some elements are speculative, but overall actionable.",2006
15,Streamline key infrastructure buildout support for AI Energy Zones,Bipartisan Policy Center,Think Tank,6.875,7.0,7.0,6.5,7.0,"Addresses a real bottleneck: data center buildout for AI. Proposes federal streamlining and incentives, with ongoing stakeholder engagement. Actionable and timely.",2250
16,AI-Driven Materials Discovery at DOE,Federation of American Scientists,Think Tank,6.7749999999999995,7.0,6.5,7.0,6.5,"DOE-led AI-driven materials discovery is concrete, leverages US strengths, and fills a strategic gap. Implementation path is clear.",2140
17,Supporting innovation through public AI infrastructure,Engineering Biology Research Consortium,Nonprofit (Other),6.6499999999999995,7.0,6.5,6.5,6.5,"Public AI infrastructure/data centers for science and innovation. Actionable, addresses compute access, and supports US competitiveness.",2068
18,Fund AI and Emerging Technology Research,Wahba Institute for Strategic Competition,Think Tank,6.7749999999999995,7.0,6.5,7.0,6.5,"Concrete call for full funding of AI R&D under the CHIPS Act, with evidence of global competition. Actionable and strategically important.",2058
19,Support long-term AI R&D programs that fill private sector gaps,Bipartisan Policy Center,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Long-term AI R&D funding to fill private sector gaps, especially via DOE. Actionable, evidence-based, and aligned with IAPS's innovation focus.",2079
20,Support AI Infrastructure Globally,Wahba Institute for Strategic Competition,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Promotes US AI infrastructure abroad to counter China's Digital Silk Road. Actionable, with clear mechanisms (DFC, Ex-Im Bank).",2147
21,Establish AI procurement and regulatory guidelines,NSF Center of Excellence,Academia,6.5249999999999995,7.0,6.5,6.0,6.5,"AI procurement/regulatory guidelines, export controls, and international agreements. Somewhat broad, but includes concrete elements.",2213
